Time.time,Fish.FishCount,Fish.FishCountMale,Fish.FishCountFemale,Fish.meanViewRadius,Fish.meanImpulseTime,Fish.meanKyuukaku,Fish.meanSoshakuJikan,Fish.meanMatingRestJikan,Fish.meanMatingAge,Fish.meanJumyo,Fish.meanPotentialBenefitOfMovement,Fish.meanMinimumEnergyToMate,Fish.meanMinimumLifeToEat,Fish.meanRelativeBenefitParameter,Fish.meanRelativeCostParameter,Fish.meanMinimumDistanceFromPredator,Predator.FishCount, Predator.FishCountMale, Predator.FishCountFemale,Predator.meanViewRadius,Predator.meanImpulseTime,Predator.meanSoshakuJikan,Predator.meanMatingRestJikan,Predator.meanMatingAge,Predator.meanJumyo,Predator.meanPotentialBenefitOfMovement,Predator.meanMinimumEnergyToMate,Predator.meanMinimumLifeToEat,Predator.meanRelativeBenefitParameter,Predator.meanRelativeCostParameter
0,300,150,150,2.949846,9.70414,29.57644,8.017169,7.695884,28.17491,151.5329,4.429379,24.06973,21.4452,0.03848962,0.03780447,2.95798,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
1.141747,278,141,137,2.939407,9.788615,29.44693,8.042341,7.648977,28.39959,151.139,4.454876,24.22725,21.72931,0.03895646,0.03836468,2.988878,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
2.084045,269,137,132,2.938821,9.790843,29.64331,8.068777,7.656482,28.22439,151.3343,4.481556,23.94962,21.75316,0.0383003,0.03886025,2.990711,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
3.104716,265,136,129,2.933529,9.79661,29.57965,8.029972,7.675467,28.17877,151.2825,4.511398,24.00421,21.6592,0.03863701,0.03905317,2.980431,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
4.167484,256,132,124,2.938511,9.889274,29.66601,8.044992,7.624342,28.06404,151.4508,4.525727,23.74247,21.43308,0.03834028,0.03889479,2.997544,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
5.195708,248,130,118,2.943847,9.954352,29.57903,8.070748,7.642838,28.05799,151.7411,4.522424,23.6903,21.61589,0.03834412,0.0390415,3.028965,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
6.476916,238,125,113,2.94975,9.878085,29.56273,8.171404,7.621109,28.18542,151.8951,4.534395,23.71227,21.69656,0.03902561,0.03936796,3.026226,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
7.63535,230,121,109,2.960324,9.905682,29.67669,8.248765,7.709615,28.14834,151.9876,4.561119,23.79852,21.76999,0.0392274,0.03987942,3.039974,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
8.74278,225,120,105,2.954482,9.910922,29.74141,8.288646,7.689674,28.0533,151.3175,4.530721,23.65076,21.85791,0.03931836,0.03990685,3.032097,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
9.592595,214,115,99,2.96709,9.85511,29.57029,8.193038,7.677361,27.90818,151.027,4.513589,23.40352,21.90841,0.03966055,0.04003042,3.039697,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
10.70766,210,112,98,2.967176,9.871944,29.77348,8.144568,7.655363,27.95222,151.091,4.530554,23.24952,21.98734,0.03974228,0.03982548,3.04258,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
11.85554,207,110,97,2.963155,9.839272,29.69239,8.141041,7.670621,27.8674,151.3525,4.54205,23.35397,21.98965,0.04005824,0.03993664,3.028642,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
12.82609,204,109,95,2.963676,9.862708,29.70876,8.107551,7.625992,27.83502,151.1865,4.543395,23.41153,21.94571,0.03983129,0.03983549,3.01411,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
14.09483,198,106,92,2.964844,9.757208,29.93699,8.193719,7.654359,27.61448,151.3199,4.56306,23.0936,21.70235,0.03994652,0.03987958,3.039754,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
15.17905,194,103,91,2.962998,9.784956,29.99188,8.186813,7.678673,27.67349,151.8409,4.591773,23.03577,21.61779,0.04031104,0.04001129,3.058299,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
16.18147,191,102,89,2.965775,9.817608,30.04654,8.257425,7.624825,27.67356,151.9679,4.591104,23.07148,21.70523,0.04021242,0.04004942,3.041504,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
17.31161,188,101,87,2.95678,9.775926,30.14675,8.230152,7.623697,27.66958,151.6534,4.544402,23.29462,21.69998,0.04058072,0.04004173,3.054751,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
18.3726,185,99,86,2.95612,9.786298,30.13132,8.233343,7.591177,27.48504,151.8494,4.548056,23.34853,21.68682,0.04079762,0.04002169,3.060097,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
19.37618,180,97,83,2.96533,9.739662,30.07261,8.17237,7.623185,27.59362,152.2095,4.553817,23.15296,21.87887,0.04116244,0.03996629,3.05868,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
20.52503,175,95,80,2.955512,9.896744,30.07688,8.123997,7.548148,27.59437,152.0033,4.559083,23.13883,21.78598,0.04096776,0.04011606,3.061554,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
21.50464,168,90,78,2.947307,10.0447,30.08992,8.066669,7.577959,27.66193,152.4851,4.494077,23.12323,21.99093,0.04051082,0.03946696,3.05654,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
22.52348,160,87,73,2.937624,10.25162,30.13536,8.092712,7.55012,27.33525,152.8607,4.499063,22.7899,21.94088,0.04048502,0.03959567,3.064146,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
23.53212,147,81,66,2.926592,10.5892,30.50253,8.089968,7.621127,27.20819,153.3171,4.45987,22.22845,21.65407,0.04036826,0.03876677,3.053888,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
24.59936,136,73,63,2.909129,10.73639,30.44358,7.982767,7.582111,27.30562,154.3942,4.388424,22.23516,21.84079,0.04016246,0.03896897,3.046221,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
25.50837,113,63,50,2.916779,10.8747,30.16668,7.917675,7.558648,27.10849,155.0838,4.37792,22.35288,21.72862,0.04183654,0.03937024,2.983924,50,25,25,3.095453,7.678826,4.888802,7.605773,29.20517,196.8044,4.502526,23.67139,22.81901,0.03836248,0.04320628
